Libellé;Indice des commandes reçues en valeur - Équipements électriques et électroniques (NAF rév. 2, niveau A17, poste C3) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Matériel de transport (NAF rév. 2, niveau A17, poste C4) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Autres produits manufacturés (NAF rév. 2, niveau A17, poste C5) - Pondération - Série arrêtée;Indice des commandes reçues en valeur - Équipements électriques et électroniques (NAF rév. 2, niveau A17, poste C3) - Moyenne annuelle - Série arrêtée;Indice des commandes reçues en valeur - Matériel de transport (NAF rév. 2, niveau A17, poste C4) - Moyenne annuelle - Série arrêtée;Indice des commandes reçues en valeur - Autres produits manufacturés (NAF rév. 2, niveau A17, poste C5) - Moyenne annuelle - Série arrêtée
IdBank;001561497;001561498;001561499;001561520;001561521;001561522
Dernière mise à jour;20 Mai 2011;20 Mai 2011;18 Novembre 2011;20 Février 2013;20 Février 2013;20 Février 2013
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Autre mode;Autre mode;Autre mode
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Base de l'indice;;;;;;
Périodicité;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle;Annuelle
Date de début;2009;2009;2009;1998;1998;1998
Date de fin;2009;2009;2009;2012;2012;2012
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
Unité de mesure;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
Puissance;0;0;0;0;0;0
Traitement des taxes;H.T. (Hors Taxes);H.T. (Hors Taxes);H.T. (Hors Taxes);H.T. (Hors Taxes);H.T. (Hors Taxes);H.T. (Hors Taxes)
