C_Reg;C_Dpt;C_Arr;N_Arr_Min;N_Arr_Maj;C_Chef-lieu;N_Chef-lieu_min;N_Chef-lieu_maj;Cant;Com;Pop90;Pop99
82;01;1;Belley;BELLEY;01034;Belley;BELLEY;9;107;75020;79656
82;01;2;Bourg-en-Bresse;BOURG-EN-BRESSE;01053;Bourg-en-Bresse;BOURG-EN-BRESSE;24;219;267656;295351
82;01;3;Gex;GEX;01173;Gex;GEX;3;29;52200;59336
82;01;4;Nantua;NANTUA;01269;Nantua;NANTUA;7;64;76143;80927
22;02;1;Château-Thierry;CHATEAU-THIERRY;02168;Château-Thierry;CHATEAU-THIERRY;5;123;66077;68570
22;02;2;Laon;LAON;02408;Laon;LAON;13;278;163625;162873
22;02;3;Saint-Quentin;SAINT-QUENTIN;02691;Saint-Quentin;SAINT-QUENTIN;9;126;137621;134597
22;02;4;Soissons;SOISSONS;02722;Soissons;SOISSONS;7;159;99362;100627
22;02;5;Vervins;VERVINS;02789;Vervins;VERVINS;8;130;70574;68822
83;03;1;Montluçon;MONTLUCON;03185;Montluçon;MONTLUCON;12;106;123162;117852
83;03;2;Moulins;MOULINS;03190;Moulins;MOULINS;12;111;110475;106705
83;03;3;Vichy;VICHY;03310;Vichy;VICHY;11;103;124073;120164
93;04;1;Barcelonnette;BARCELONNETTE;04019;Barcelonnette;BARCELONNETTE;2;16;7248;7569
93;04;2;Castellane;CASTELLANE;04039;Castellane;CASTELLANE;5;32;7970;8125
93;04;3;Digne-les-Bains;DIGNE-LES-BAINS;04070;Digne-les-Bains;DIGNE-LES-BAINS;10;65;44723;48128
93;04;4;Forcalquier;FORCALQUIER;04088;Forcalquier;FORCALQUIER;13;87;70942;75739
93;05;1;Briançon;BRIANCON;05023;Briançon;BRIANCON;7;38;31042;32124
93;05;2;Gap;GAP;05061;Gap;GAP;23;139;82258;89295
93;06;1;Grasse;GRASSE;06069;Grasse;GRASSE;19;62;470488;504632
93;06;2;Nice;NICE;06088;Nice;NICE;33;101;501341;506694
82;07;1;Largentière;LARGENTIERE;07132;Largentière;LARGENTIERE;10;103;43072;44264
82;07;2;Privas;PRIVAS;07186;Privas;PRIVAS;11;110;113287;118028
82;07;3;Tournon-sur-Rhône;TOURNON-SUR-RHONE;07324;Tournon-sur-Rhône;TOURNON-SUR-RHONE;12;126;121222;123731
21;08;1;Charleville-Mézières;CHARLEVILLE-MEZIERES;08105;Charleville-Mézières;CHARLEVILLE-MEZIERES;17;160;175374;171608
21;08;2;Rethel;RETHEL;08362;Rethel;RETHEL;6;101;34213;33951
21;08;3;Sedan;SEDAN;08409;Sedan;SEDAN;6;79;63614;62096
21;08;4;Vouziers;VOUZIERS;08490;Vouziers;VOUZIERS;8;123;23156;22475
73;09;1;Foix;FOIX;09122;Foix;FOIX;9;135;51790;50114
73;09;2;Pamiers;PAMIERS;09225;Pamiers;PAMIERS;7;115;58442;61058
73;09;3;Saint-Girons;SAINT-GIRONS;09261;Saint-Girons;SAINT-GIRONS;6;82;26223;26033
21;10;1;Bar-sur-Aube;BAR-SUR-AUBE;10033;Bar-sur-Aube;BAR-SUR-AUBE;5;104;31979;30396
21;10;2;Nogent-sur-Seine;NOGENT-SUR-SEINE;10268;Nogent-sur-Seine;NOGENT-SUR-SEINE;6;82;50584;51441
21;10;3;Troyes;TROYES;10387;Troyes;TROYES;22;247;206644;210294
91;11;1;Carcassonne;CARCASSONNE;11069;Carcassonne;CARCASSONNE;18;207;137221;141890
91;11;2;Limoux;LIMOUX;11206;Limoux;LIMOUX;8;149;42247;41489
91;11;3;Narbonne;NARBONNE;11262;Narbonne;NARBONNE;9;82;119244;126391
73;12;1;Millau;MILLAU;12145;Millau;MILLAU;15;101;68972;67612
73;12;2;Rodez;RODEZ;12202;Rodez;RODEZ;23;139;133969;132566
73;12;3;Villefranche-de-Rouergue;VILLEFRANCHE-DE-ROUERGUE;12300;Villefranche-de-Rouergue;VILLEFRANCHE-DE-ROUERGUE;8;64;67200;63630
93;13;1;Aix-en-Provence;AIX-EN-PROVENCE;13001;Aix-en-Provence;AIX-EN-PROVENCE;10;44;347431;381986
93;13;2;Arles;ARLES;13004;Arles;ARLES;9;36;171807;180948
93;13;3;Marseille;MARSEILLE;13055;Marseille;MARSEILLE;26;21;965318;980082
93;13;4;Istres;ISTRES;13047;Istres;ISTRES;8;18;274815;292703
25;14;1;Bayeux;BAYEUX;14047;Bayeux;BAYEUX;6;126;62280;63022
25;14;2;Caen;CAEN;14118;Caen;CAEN;24;287;366169;389973
25;14;3;Lisieux;LISIEUX;14366;Lisieux;LISIEUX;13;204;136081;140504
25;14;4;Vire;VIRE;14762;Vire;VIRE;6;88;53948;54886
83;15;1;Aurillac;AURILLAC;15014;Aurillac;AURILLAC;12;96;83715;82116
83;15;2;Mauriac;MAURIAC;15120;Mauriac;MAURIAC;6;55;31094;28649
83;15;3;Saint-Flour;SAINT-FLOUR;15187;Saint-Flour;SAINT-FLOUR;9;109;43914;40013
54;16;1;Angoulême;ANGOULEME;16015;Angoulême;ANGOULEME;21;245;219175;219826
54;16;2;Cognac;COGNAC;16102;Cognac;COGNAC;8;96;84535;83083
54;16;3;Confolens;CONFOLENS;16106;Confolens;CONFOLENS;6;63;38283;36719
54;17;1;Jonzac;JONZAC;17197;Jonzac;JONZAC;7;114;52269;51675
54;17;2;Rochefort;ROCHEFORT;17299;Rochefort;ROCHEFORT;13;79;153256;161340
54;17;3;Rochelle (La);ROCHELLE (LA);17300;Rochelle (La);ROCHELLE (LA);15;57;166011;184728
54;17;4;Saintes;SAINTES;17415;Saintes;SAINTES;9;107;104486;108989
