C_Reg;C_Dpt;C_Arr;C_Cant;C_Com;N_Com_min;N_Com_maj;Cp;Pop90;Pop99
82;01;2;10;01001;Abergement-Clémenciat (L');ABERGEMENT-CLEMENCIAT (L');01400;579;728
82;01;1;01;01002;Abergement-de-Varey (L');ABERGEMENT-DE-VAREY (L');01640;159;168
82;01;1;01;01004;Ambérieu-en-Bugey;AMBERIEU-EN-BUGEY;01500;10455;11436
82;01;2;30;01005;Ambérieux-en-Dombes;AMBERIEUX-EN-DOMBES;01330;1156;1408
82;01;1;04;01006;Ambléon;AMBLEON;01300;76;86
82;01;1;01;01007;Ambronay;AMBRONAY;01500;1996;2146
82;01;1;17;01008;Ambutrix;AMBUTRIX;01500;595;586
82;01;1;04;01009;Andert-et-Condon;ANDERT-ET-CONDON;01300;262;275
82;01;1;31;01010;Anglefort;ANGLEFORT;01350;687;769
82;01;4;22;01011;Apremont;APREMONT;01100;341;329
82;01;1;15;01012;Aranc;ARANC;01110;291;275
82;01;1;28;01013;Arandas;ARANDAS;01230;128;135
82;01;4;23;01014;Arbent;ARBENT;01100;3369;3610
82;01;1;04;01015;Arbignieu;ARBIGNIEU;01300;387;431
82;01;2;26;01016;Arbigny;ARBIGNY;01190;314;332
82;01;1;28;01017;Argis;ARGIS;01230;405;390
82;01;1;36;01019;Armix;ARMIX;01510;14;15
82;01;2;42;01021;Ars-sur-Formans;ARS-SUR-FORMANS;01480;851;1102
82;01;1;09;01022;Artemare;ARTEMARE;01510;961;970
82;01;2;02;01023;Asnières-sur-Saône;ASNIERES-SUR-SAONE;01570;68;69
82;01;2;21;01024;Attignat;ATTIGNAT;01340;1776;1924
82;01;2;02;01025;Bâgé-la-Ville;BAGE-LA-VILLE;01380;1959;2314
82;01;2;02;01026;Bâgé-le-Châtel;BAGE-LE-CHATEL;01380;751;762
82;01;2;20;01027;Balan;BALAN;01360;1668;1534
82;01;2;30;01028;Baneins;BANEINS;01990;377;529
82;01;2;11;01029;Beaupont;BEAUPONT;01270;422;492
82;01;2;34;01030;Beauregard;BEAUREGARD;01480;868;817
82;01;4;41;01031;Bellignat;BELLIGNAT;01100;3233;3488
82;01;2;20;01032;Béligneux;BELIGNEUX;01360;2319;2594
82;01;4;03;01033;Bellegarde-sur-Valserine;BELLEGARDE-SUR-VALSERINE;01200;11153;10846
82;01;1;04;01034;Belley;BELLEY;01300;7807;8004
82;01;4;23;01035;Belleydoux;BELLEYDOUX;01130;232;277
82;01;1;09;01036;Belmont-Luthézieu;BELMONT-LUTHEZIEU;01260;308;394
82;01;1;18;01037;Bénonces;BENONCES;01470;249;243
82;01;2;11;01038;Bény;BENY;01370;587;613
82;01;1;09;01039;Béon;BEON;01350;348;364
82;01;2;21;01040;Béréziat;BEREZIAT;01340;308;340
82;01;1;01;01041;Bettant;BETTANT;01500;703;683
82;01;2;27;01042;Bey;BEY;01290;195;221
82;01;2;40;01043;Beynost;BEYNOST;01700;3141;3530
82;01;4;03;01044;Billiat;BILLIAT;01200;396;411
82;01;2;35;01045;Birieux;BIRIEUX;01330;125;145
82;01;2;10;01046;Biziat;BIZIAT;01290;574;641
82;01;1;17;01047;Blyes;BLYES;01150;535;692
82;01;2;20;01049;Boisse (La);BOISSE (LA);01120;2419;2709
82;01;2;26;01050;Boissey;BOISSEY;01190-01380;206;202
82;01;4;16;01051;Bolozon;BOLOZON;01450;93;94
82;01;2;35;01052;Bouligneux;BOULIGNEUX;01330;274;290
82;01;2;99;01053;Bourg-en-Bresse;BOURG-EN-BRESSE;01000;40972;40666
82;01;2;19;01054;Bourg-Saint-Christophe;BOURG-SAINT-CHRISTOPHE;01800;716;824
82;01;4;24;01056;Boyeux-Saint-Jérôme;BOYEUX-SAINT-JEROME;01640;241;277
82;01;2;26;01057;Boz;BOZ;01190;352;359
82;01;1;04;01058;Brégnier-Cordon;BREGNIER-CORDON;01300;511;566
82;01;1;09;01059;Brénaz;BRENAZ;01260;95;105
82;01;4;06;01060;Brénod;BRENOD;01110;385;427
82;01;1;04;01061;Brens;BRENS;01300;638;731
82;01;2;20;01062;Bressolles;BRESSOLLES;01360;480;590
