C_Reg;N_Reg_min;C_Dpt;N_Dpt_min;C_Arr;N_Arr_min;C_Cant;N_Cant_min;C_Com;N_Com_min;Nb_fract
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;04;Baie-Mahault;97103;Baie-Mahault;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;05;Basse-Terre 1er Canton;97105;Basse-Terre;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;06;Basse-Terre 2e  Canton;97105;Basse-Terre;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;07;Bouillante;97106;Bouillante;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;08;Capesterre-Belle-Eau 1er Canton;97107;Capesterre-Belle-Eau;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;13;Lamentin;97115;Lamentin;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;18;Petit-Bourg;97118;Petit-Bourg;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;24;Pointe-Noire;97121;Pointe-Noire;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;26;Saint-Claude;97124;Saint-Claude;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;32;Sainte-Rose 1er Canton;97129;Sainte-Rose;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;33;Sainte-Rose 2e  Canton;97111;Deshaies;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;33;Sainte-Rose 2e  Canton;97129;Sainte-Rose;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;34;Saintes (Les);97130;Terre-de-Bas;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;34;Saintes (Les);97131;Terre-de-Haut;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;35;Trois-Rivières;97132;Trois-Rivières;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;35;Trois-Rivières;97133;Vieux-Fort;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;36;Vieux-Habitants;97104;Baillif;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;36;Vieux-Habitants;97134;Vieux-Habitants;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;40;Capesterre-Belle-Eau 2e  Canton;97107;Capesterre-Belle-Eau;2
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;42;Gourbeyre;97109;Gourbeyre;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;43;Goyave;97114;Goyave;1
01;Guadeloupe;971;Guadeloupe;1;Basse-Terre;43;Goyave;97118;Petit-Bourg;2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;01;Abymes 1er Canton (Les);97101;Abymes (Les);5
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;02;Abymes 2e  Canton (Les);97101;Abymes (Les);5
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;03;Anse-Bertrand;97102;Anse-Bertrand;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;03;Anse-Bertrand;97122;Port-Louis;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;09;Capesterre-de-Marie-Galante;97108;Capesterre-de-Marie-Galante;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;10;Désirade (La);97110;Désirade (La);1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;11;Gosier 1er Canton (Le);97113;Gosier (Le);2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;12;Grand-Bourg;97112;Grand-Bourg;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;14;Morne-à-l'Eau 1er Canton;97116;Morne-à-l'Eau;2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;15;Morne-à-l'Eau 2e  Canton;97116;Morne-à-l'Eau;2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;16;Moule 1er Canton (Le);97117;Moule (Le);2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;17;Moule 2e  Canton (Le);97117;Moule (Le);2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;19;Petit-Canal;97119;Petit-Canal;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;20;Pointe-à-Pitre 1er Canton;97120;Pointe-à-Pitre;3
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;21;Pointe-à-Pitre 2e  Canton;97120;Pointe-à-Pitre;3
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;22;Pointe-à-Pitre 3e  Canton;97120;Pointe-à-Pitre;3
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;27;Saint-François;97125;Saint-François;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;28;Saint-Louis;97126;Saint-Louis;1
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;30;Sainte-Anne 1er Canton;97128;Sainte-Anne;2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;31;Sainte-Anne 2e  Canton;97128;Sainte-Anne;2
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;37;Abymes 3e  Canton (Les);97101;Abymes (Les);5
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;38;Abymes 4e  Canton (Les);97101;Abymes (Les);5
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;39;Abymes 5e  Canton (Les);97101;Abymes (Les);5
01;Guadeloupe;971;Guadeloupe;2;Pointe-à-Pitre;41;Gosier 2e  Canton (Le);97113;Gosier (Le);2
01;Guadeloupe;971;Guadeloupe;3;Saint-Martin-Saint-Barthélemy;25;Saint-Barthélemy;97123;Saint-Barthélemy;1
01;Guadeloupe;971;Guadeloupe;3;Saint-Martin-Saint-Barthélemy;29;Saint-Martin 1er Canton;97127;Saint-Martin;2
01;Guadeloupe;971;Guadeloupe;3;Saint-Martin-Saint-Barthélemy;44;Saint-Martin 2e  Canton;97127;Saint-Martin;2
02;Martinique;972;Martinique;1;Fort-de-France;09;Fort-de-France  1er Canton;97209;Fort-de-France;10
02;Martinique;972;Martinique;1;Fort-de-France;10;Fort-de-France  2e  Canton;97209;Fort-de-France;10
02;Martinique;972;Martinique;1;Fort-de-France;11;Fort-de-France  3e  Canton;97209;Fort-de-France;10
02;Martinique;972;Martinique;1;Fort-de-France;12;Fort-de-France  4e  Canton;97209;Fort-de-France;10
02;Martinique;972;Martinique;1;Fort-de-France;16;Lamentin 1er Canton Sud-Bourg (Le);97213;Lamentin (Le);3
