key;url;nextUrl;Count
--firstpage--~^~/about;--firstpage--;/about;504
--firstpage--~^~/about/awards;--firstpage--;/about/awards;80
--firstpage--~^~/about/customers;--firstpage--;/about/customers;667
--firstpage--~^~/ad/easy;--firstpage--;/ad/easy;4
--firstpage--~^~/ad/lead;--firstpage--;/ad/lead;44
--firstpage--~^~/ad/save;--firstpage--;/ad/save;2012
--firstpage--~^~/ad/survey;--firstpage--;/ad/survey;10
--firstpage--~^~/ad/training;--firstpage--;/ad/training;10
--firstpage--~^~/analyst_perspective;--firstpage--;/analyst_perspective;281
--firstpage--~^~/buy;--firstpage--;/buy;1326
--firstpage--~^~/careers;--firstpage--;/careers;278
--firstpage--~^~/careers/account;--firstpage--;/careers/account;33
--firstpage--~^~/careers/capetown;--firstpage--;/careers/capetown;3
--firstpage--~^~/careers/engineer;--firstpage--;/careers/engineer;38
--firstpage--~^~/careers/frankfurt;--firstpage--;/careers/frankfurt;10
--firstpage--~^~/careers/london;--firstpage--;/careers/london;7
--firstpage--~^~/careers/manager;--firstpage--;/careers/manager;3
--firstpage--~^~/careers/munich;--firstpage--;/careers/munich;8
--firstpage--~^~/careers/paris;--firstpage--;/careers/paris;7
--firstpage--~^~/careers/sales;--firstpage--;/careers/sales;29
--firstpage--~^~/careers/syndey;--firstpage--;/careers/syndey;4
--firstpage--~^~/confirmed/demo;--firstpage--;/confirmed/demo;111
--firstpage--~^~/confirmed/sales;--firstpage--;/confirmed/sales;3
--firstpage--~^~/confirmed/thankyou;--firstpage--;/confirmed/thankyou;38
--firstpage--~^~/contact;--firstpage--;/contact;667
--firstpage--~^~/customer;--firstpage--;/customer;6
--firstpage--~^~/demo;--firstpage--;/demo;26205
--firstpage--~^~/docs;--firstpage--;/docs;12
--firstpage--~^~/docs/doc1.pdf;--firstpage--;/docs/doc1.pdf;431
--firstpage--~^~/docs/doc11.pdf;--firstpage--;/docs/doc11.pdf;1
--firstpage--~^~/docs/doc12.pdf;--firstpage--;/docs/doc12.pdf;1
--firstpage--~^~/docs/doc2.pdf;--firstpage--;/docs/doc2.pdf;335
--firstpage--~^~/docs/doc3.pdf;--firstpage--;/docs/doc3.pdf;294
--firstpage--~^~/docs/doc4.pdf;--firstpage--;/docs/doc4.pdf;3
--firstpage--~^~/docs/doc5.pdf;--firstpage--;/docs/doc5.pdf;90
--firstpage--~^~/docs/doc6.pdf;--firstpage--;/docs/doc6.pdf;323
--firstpage--~^~/docs/doc7.pdf;--firstpage--;/docs/doc7.pdf;127
--firstpage--~^~/docs/doc8.pdf;--firstpage--;/docs/doc8.pdf;118
--firstpage--~^~/docs/doc9.pdf;--firstpage--;/docs/doc9.pdf;169
--firstpage--~^~/download;--firstpage--;/download;6419
--firstpage--~^~/download/download1.zip;--firstpage--;/download/download1.zip;392
--firstpage--~^~/download/download2.zip;--firstpage--;/download/download2.zip;24
--firstpage--~^~/download/download3.zip;--firstpage--;/download/download3.zip;332
--firstpage--~^~/download/download4.zip;--firstpage--;/download/download4.zip;284
--firstpage--~^~/download/download6.zip;--firstpage--;/download/download6.zip;81
--firstpage--~^~/download/download7.zip;--firstpage--;/download/download7.zip;127
--firstpage--~^~/download/download8.zip;--firstpage--;/download/download8.zip;4
--firstpage--~^~/download/wizard;--firstpage--;/download/wizard;3
--firstpage--~^~/email;--firstpage--;/email;1
--firstpage--~^~/events;--firstpage--;/events;263
--firstpage--~^~/events/event1;--firstpage--;/events/event1;66
--firstpage--~^~/events/event10;--firstpage--;/events/event10;59
--firstpage--~^~/events/event2;--firstpage--;/events/event2;86
--firstpage--~^~/events/event3;--firstpage--;/events/event3;56
--firstpage--~^~/events/event4;--firstpage--;/events/event4;97
--firstpage--~^~/events/event5;--firstpage--;/events/event5;132
--firstpage--~^~/events/event6;--firstpage--;/events/event6;48
--firstpage--~^~/events/event7;--firstpage--;/events/event7;427
--firstpage--~^~/events/event8;--firstpage--;/events/event8;117
--firstpage--~^~/events/event9;--firstpage--;/events/event9;191
--firstpage--~^~/events/speakers;--firstpage--;/events/speakers;10
--firstpage--~^~/feeds/press;--firstpage--;/feeds/press;19601
--firstpage--~^~/future;--firstpage--;/future;8
--firstpage--~^~/highlight;--firstpage--;/highlight;382
--firstpage--~^~/home;--firstpage--;/home;7369
--firstpage--~^~/junk;--firstpage--;/junk;1
--firstpage--~^~/launch/product3;--firstpage--;/launch/product3;177
--firstpage--~^~/launch/product4;--firstpage--;/launch/product4;45
--firstpage--~^~/license;--firstpage--;/license;309
--firstpage--~^~/login;--firstpage--;/login;3
--firstpage--~^~/misc;--firstpage--;/misc;431
--firstpage--~^~/news;--firstpage--;/news;1165
--firstpage--~^~/news/march;--firstpage--;/news/march;4
--firstpage--~^~/news/releases;--firstpage--;/news/releases;13
--firstpage--~^~/news/releases/april;--firstpage--;/news/releases/april;204
--firstpage--~^~/news/releases/august;--firstpage--;/news/releases/august;80
--firstpage--~^~/news/releases/december;--firstpage--;/news/releases/december;126
--firstpage--~^~/news/releases/february;--firstpage--;/news/releases/february;246
--firstpage--~^~/news/releases/january;--firstpage--;/news/releases/january;76
--firstpage--~^~/news/releases/july;--firstpage--;/news/releases/july;93
--firstpage--~^~/news/releases/june;--firstpage--;/news/releases/june;202
--firstpage--~^~/news/releases/march;--firstpage--;/news/releases/march;201
--firstpage--~^~/news/releases/may;--firstpage--;/news/releases/may;669
--firstpage--~^~/news/releases/november;--firstpage--;/news/releases/november;165
--firstpage--~^~/news/releases/october;--firstpage--;/news/releases/october;214
--firstpage--~^~/news/releases/september;--firstpage--;/news/releases/september;170
--firstpage--~^~/offers;--firstpage--;/offers;445
--firstpage--~^~/partners;--firstpage--;/partners;1504
--firstpage--~^~/partners/embed;--firstpage--;/partners/embed;4
--firstpage--~^~/partners/integrators;--firstpage--;/partners/integrators;179
--firstpage--~^~/partners/join;--firstpage--;/partners/join;16
--firstpage--~^~/partners/resell;--firstpage--;/partners/resell;825
--firstpage--~^~/product/demos/product2;--firstpage--;/product/demos/product2;440
--firstpage--~^~/product/product1;--firstpage--;/product/product1;2270
--firstpage--~^~/product/product10;--firstpage--;/product/product10;727
--firstpage--~^~/product/product11;--firstpage--;/product/product11;47
--firstpage--~^~/product/product12;--firstpage--;/product/product12;1534
--firstpage--~^~/product/product2;--firstpage--;/product/product2;4098
--firstpage--~^~/product/product3;--firstpage--;/product/product3;4047
--firstpage--~^~/product/product4;--firstpage--;/product/product4;3607
--firstpage--~^~/product/product5;--firstpage--;/product/product5;71
--firstpage--~^~/product/product6;--firstpage--;/product/product6;2759
--firstpage--~^~/product/product7;--firstpage--;/product/product7;73
--firstpage--~^~/product/product8;--firstpage--;/product/product8;74
--firstpage--~^~/product/product9;--firstpage--;/product/product9;20
--firstpage--~^~/products;--firstpage--;/products;5164
--firstpage--~^~/products/demos;--firstpage--;/products/demos;965
--firstpage--~^~/promo;--firstpage--;/promo;197
--firstpage--~^~/register;--firstpage--;/register;1
